[Name]
Series 1 for Case CASSION_Transient_sol 0200 at strainrate avg

[Data]
Time [ s ],strainrate avg [ s^-1 ]
1.50999999e+00, 1.84125580e+02
1.51999998e+00, 2.50713928e+02
1.52999997e+00, 3.10916901e+02
1.53999996e+00, 3.68007568e+02
1.54999995e+00, 4.23783691e+02
1.55999994e+00, 4.78189606e+02
1.57000005e+00, 5.29794250e+02
1.58000004e+00, 5.77441528e+02
1.59000003e+00, 6.19936707e+02
1.60000002e+00, 6.55002808e+02
1.61000001e+00, 6.79374146e+02
1.62000000e+00, 6.89810242e+02
1.63000000e+00, 6.84709900e+02
1.63999999e+00, 6.64139465e+02
1.64999998e+00, 6.29486084e+02
1.65999997e+00, 5.83073853e+02
1.66999996e+00, 5.27985596e+02
1.67999995e+00, 4.66017334e+02
1.69000006e+00, 3.98612762e+02
1.70000005e+00, 3.28255737e+02
1.71000004e+00, 2.63124481e+02
1.72000003e+00, 2.17649979e+02
1.73000002e+00, 1.96300140e+02
1.74000001e+00, 1.84907883e+02
1.75000000e+00, 1.73625275e+02
1.75999999e+00, 1.62664063e+02
1.76999998e+00, 1.52688004e+02
1.77999997e+00, 1.43998291e+02
1.78999996e+00, 1.36596634e+02
1.79999995e+00, 1.30487564e+02
1.80999994e+00, 1.25676796e+02
1.82000005e+00, 1.22035316e+02
1.83000004e+00, 1.19336098e+02
1.84000003e+00, 1.17295219e+02
1.85000002e+00, 1.15646828e+02
1.86000001e+00, 1.14230804e+02
1.87000000e+00, 1.12977631e+02
1.88000000e+00, 1.11873024e+02
1.88999999e+00, 1.10895767e+02
1.89999998e+00, 1.10028221e+02
1.90999997e+00, 1.09254166e+02
1.91999996e+00, 1.08564888e+02
1.92999995e+00, 1.07954445e+02
1.94000006e+00, 1.07415337e+02
1.95000005e+00, 1.06938805e+02
1.96000004e+00, 1.06512283e+02
1.97000003e+00, 1.06125603e+02
1.98000002e+00, 1.05773796e+02
1.99000001e+00, 1.05451607e+02
