[Name]
Series 1 for Case CY_Transient_solution 2.0000 at wssavg

[Data]
Time [ s ],wssavg [ Pa ]
1.50999999e+00, 8.72841120e-01
1.51999998e+00, 8.72276783e-01
1.52999997e+00, 5.29045486e+00
1.53999996e+00, 4.25840044e+00
1.54999995e+00, 4.72812366e+00
1.55999994e+00, 5.21186924e+00
1.57000005e+00, 5.66441107e+00
1.58000004e+00, 6.05674028e+00
1.59000003e+00, 6.36502838e+00
1.60000002e+00, 6.57819414e+00
1.61000001e+00, 6.68096018e+00
1.62000000e+00, 6.64590216e+00
1.63000000e+00, 6.45093489e+00
1.63999999e+00, 6.09713650e+00
1.64999998e+00, 5.60295105e+00
1.65999997e+00, 4.99518538e+00
1.66999996e+00, 4.30162716e+00
1.67999995e+00, 3.55006671e+00
1.69000006e+00, 2.76612043e+00
1.70000005e+00, 1.98665679e+00
1.71000004e+00, 1.39707136e+00
1.72000003e+00, 1.13649070e+00
1.73000002e+00, 1.16158783e+00
1.74000001e+00, 1.12374890e+00
1.75000000e+00, 1.07902336e+00
1.75999999e+00, 1.04204297e+00
1.76999998e+00, 1.01314771e+00
1.77999997e+00, 9.90101755e-01
1.78999996e+00, 9.72433805e-01
1.79999995e+00, 9.58594143e-01
1.80999994e+00, 9.47527349e-01
1.82000005e+00, 9.38133717e-01
1.83000004e+00, 9.29384589e-01
1.84000003e+00, 9.21088934e-01
1.85000002e+00, 9.12928104e-01
1.86000001e+00, 9.05202925e-01
1.87000000e+00, 8.98576677e-01
1.88000000e+00, 8.98394644e-01
1.88999999e+00, 8.90951395e-01
1.89999998e+00, 8.87195051e-01
1.90999997e+00, 8.87129486e-01
1.91999996e+00, 8.82764637e-01
1.92999995e+00, 8.82712305e-01
1.94000006e+00, 8.79376292e-01
1.95000005e+00, 8.79293263e-01
1.96000004e+00, 8.76584709e-01
1.97000003e+00, 8.76521707e-01
1.98000002e+00, 8.74494016e-01
1.99000001e+00, 8.74382377e-01
2.00000000e+00, 8.72811794e-01


[Name]
Series 1 for Case CASSION_Transient_sol 0200 at wssavg

[Data]
Time [ s ],wssavg [ Pa ]
1.50999999e+00, 1.59100676e+00
1.51999998e+00, 1.99116850e+00
1.52999997e+00, 2.33794427e+00
1.53999996e+00, 2.67097545e+00
1.54999995e+00, 2.99260402e+00
1.55999994e+00, 3.30161762e+00
1.57000005e+00, 3.58951187e+00
1.58000004e+00, 3.84347415e+00
1.59000003e+00, 4.04837513e+00
1.60000002e+00, 4.18885469e+00
