[Name]
Series 1 for Case CASSION_Transient_sol 0200 at Net Mass Flow

[Data]
Time [ s ],Net Mass Flow [ kg s^-1 ]
1.50999999e+00, 2.03493983e-07
1.51999998e+00, 2.45869160e-07
1.52999997e+00, 1.70432031e-07
1.53999996e+00, 2.14204192e-07
1.54999995e+00, 1.78813934e-07
1.55999994e+00, 1.75088644e-07
1.57000005e+00, 1.51805580e-07
1.58000004e+00, 2.00234354e-07
1.59000003e+00, 1.71363354e-07
1.60000002e+00, 1.78813934e-07
1.61000001e+00, 1.30385160e-08
1.62000000e+00, -1.39698386e-07
1.63000000e+00, -1.15483999e-07
1.63999999e+00, -1.37835741e-07
1.64999998e+00, -1.65775418e-07
1.65999997e+00, -1.46217644e-07
1.66999996e+00, -1.81607902e-07
1.67999995e+00, -1.55530870e-07
1.69000006e+00, -2.15135515e-07
1.70000005e+00, -2.22120434e-07
1.71000004e+00, -2.29105353e-07
1.72000003e+00, -1.70664862e-07
1.73000002e+00, 2.25612894e-07
1.74000001e+00, -2.62400135e-07
1.75000000e+00, 1.89756975e-07
1.75999999e+00, 2.38651410e-07
1.76999998e+00, 1.76252797e-07
1.77999997e+00, 2.10246071e-07
1.78999996e+00, 1.94413587e-07
1.79999995e+00, -1.84867531e-07
1.80999994e+00, -2.33761966e-07
1.82000005e+00, 1.83936208e-08
1.83000004e+00, 7.72997737e-08
1.84000003e+00, -2.31666490e-07
1.85000002e+00, -2.24681571e-07
1.86000001e+00, -1.84634700e-07
1.87000000e+00, -1.70199201e-07
1.88000000e+00, -2.36090273e-07
1.88999999e+00, -2.06287950e-07
1.89999998e+00, -1.87428668e-07
1.90999997e+00, -1.64145604e-07
1.91999996e+00, -1.24564394e-07
1.92999995e+00, 4.81959432e-08
1.94000006e+00, 1.88359991e-07
1.95000005e+00, 1.82073563e-07
1.96000004e+00, 1.61584467e-07
1.97000003e+00, 1.50641426e-07
1.98000002e+00, 8.19563866e-08
1.99000001e+00, -1.51339918e-08
2.00000000e+00, -9.91858542e-08


[Name]
Series 1 for Case CROSS_Transient_sol 2.000 at Net Mass Flow

[Data]
Time [ s ],Net Mass Flow [ kg s^-1 ]
1.50999999e+00, 4.56348062e-08
1.51999998e+00, 1.02911144e-06
1.52999997e+00, 1.23027712e-06
1.53999996e+00, 1.37649477e-06
1.54999995e+00, 1.54413283e-06
1.55999994e+00, 9.14558768e-07
1.57000005e+00, 1.10454857e-06
1.58000004e+00, 9.34116542e-07
1.59000003e+00, 8.66129994e-07
1.60000002e+00, 9.90927219e-07
1.61000001e+00, 1.52736902e-07
1.62000000e+00, -1.03190541e-06
1.63000000e+00, -1.06170774e-06
1.63999999e+00, -8.95932317e-07
1.64999998e+00, -1.26939267e-06
1.65999997e+00, -9.09902155e-07
1.66999996e+00, -1.08499080e-06
1.67999995e+00, -1.17439777e-06
1.69000006e+00, -1.06263906e-06
1.70000005e+00, -1.17719173e-06
1.71000004e+00, -1.10222027e-06
1.72000003e+00, -1.39675103e-06
1.73000002e+00, 1.25612132e-06
1.74000001e+00, -1.69454142e-06
1.75000000e+00, -2.05589458e-07
1.75999999e+00, 1.52271241e-06
1.76999998e+00, 1.22422352e-06
