Time [ s ],Casson [ kg s^-1 ],Cross [ kg s^-1 ],CY [ kg s^-1 ],Newtownian [ kg s^-1 ],Power [ kg s^-1 ]
1.51E+00,1.92E-07,4.56E-08,-9.17E-08,2.55E-07,7.41E-07
1.52E+00,2.21E-07,1.03E-06,-1.48E-07,1.95E-07,8.92E-07
1.53E+00,1.87E-07,1.23E-06,1.28E-06,2.24E-07,1.01E-06
1.54E+00,1.87E-07,1.38E-06,9.33E-07,2.51E-07,6.54E-07
1.55E+00,2.36E-07,1.54E-06,8.50E-07,1.68E-07,7.23E-07
1.56E+00,1.53E-07,9.15E-07,8.99E-07,1.79E-07,1.04E-06
1.57E+00,1.62E-07,1.10E-06,9.12E-07,1.69E-07,7.25E-07
1.58E+00,2.02E-07,9.34E-07,8.43E-07,2.32E-07,9.31E-07
1.59E+00,1.88E-07,8.66E-07,8.07E-07,2.14E-07,1.08E-06
1.60E+00,1.53E-07,9.91E-07,9.16E-07,1.90E-07,5.38E-07
1.61E+00,2.05E-08,1.53E-07,5.77E-08,1.68E-08,-1.49E-08
1.62E+00,-1.55E-07,-1.03E-06,-8.05E-07,-2.20E-07,-8.83E-07
1.63E+00,-1.40E-07,-1.06E-06,-9.67E-07,-1.68E-07,-6.61E-07
1.64E+00,-1.81E-07,-8.96E-07,-9.97E-07,-1.68E-07,-8.98E-07
1.65E+00,-1.89E-07,-1.27E-06,-9.97E-07,-1.36E-07,-6.98E-07
1.66E+00,-1.67E-07,-9.10E-07,-8.18E-07,-1.46E-07,-8.35E-07
1.67E+00,-1.74E-07,-1.08E-06,-7.63E-07,-1.47E-07,-8.39E-07
1.68E+00,-2.23E-07,-1.17E-06,-1.24E-06,-1.58E-07,-7.79E-07
1.69E+00,-2.13E-07,-1.06E-06,-1.21E-06,-1.63E-07,-8.66E-07
1.70E+00,-1.70E-07,-1.18E-06,-1.15E-06,-2.20E-07,-9.00E-07
1.71E+00,-2.44E-07,-1.10E-06,-1.15E-06,-1.83E-07,-1.02E-06
1.72E+00,-1.93E-07,-1.40E-06,-9.32E-07,-2.51E-07,-1.05E-06
1.73E+00,1.90E-07,1.26E-06,1.01E-06,2.10E-07,8.90E-07
1.74E+00,-2.19E-07,-1.69E-06,-1.23E-06,-2.70E-07,-1.18E-06
1.75E+00,1.57E-07,-2.06E-07,4.79E-07,1.93E-07,4.10E-08
1.76E+00,2.42E-07,1.52E-06,1.13E-06,2.78E-07,1.07E-06
1.77E+00,1.87E-07,1.22E-06,8.49E-07,2.07E-07,7.85E-07
1.78E+00,2.32E-07,1.68E-06,1.29E-06,2.78E-07,9.12E-07
1.79E+00,1.83E-07,1.28E-06,1.05E-06,2.18E-07,6.94E-07
1.80E+00,2.58E-07,9.52E-07,1.38E-06,1.66E-07,1.03E-06
1.81E+00,2.09E-07,8.67E-07,8.25E-07,2.07E-07,7.71E-07
1.82E+00,-1.51E-07,-1.01E-07,-4.84E-07,-1.19E-07,2.67E-07
1.83E+00,-1.64E-07,-1.16E-06,-8.33E-07,-1.99E-07,-7.47E-07
1.84E+00,-2.50E-07,-9.79E-07,-1.52E-06,-1.88E-07,-9.06E-07
1.85E+00,-2.22E-07,-1.61E-06,-1.14E-06,-2.81E-07,-8.00E-07
1.86E+00,-1.93E-07,-1.44E-06,-1.05E-06,-2.57E-07,-1.19E-06
1.87E+00,-1.49E-07,-1.23E-06,-8.27E-07,-1.99E-07,-1.08E-06
1.88E+00,-2.32E-07,-9.50E-07,-1.53E-06,-1.53E-07,-8.51E-07
1.89E+00,-1.86E-07,-1.24E-06,-8.79E-07,-2.49E-07,-5.15E-07
1.90E+00,-1.50E-07,-8.04E-07,-3.01E-07,-1.88E-07,-8.65E-07
1.91E+00,-1.57E-07,-3.04E-07,-3.99E-07,-1.60E-07,-4.29E-07
1.92E+00,-1.44E-07,-2.38E-07,-2.85E-07,-1.26E-07,-5.19E-08
1.93E+00,-8.57E-08,-1.94E-07,-4.80E-07,-1.05E-07,-5.56E-08
1.94E+00,-2.96E-08,-6.22E-08,-3.09E-07,-7.12E-08,-2.40E-08
1.95E+00,2.56E-09,-1.19E-07,-3.49E-07,-2.21E-08,9.15E-08
1.96E+00,4.26E-08,-8.75E-08,-1.82E-07,2.42E-08,9.17E-08
1.97E+00,2.86E-08,-7.73E-08,-1.70E-07,2.12E-08,1.48E-07
1.98E+00,-1.91E-08,4.35E-08,-6.94E-08,-2.17E-08,1.40E-07
1.99E+00,-6.96E-08,1.06E-07,-9.27E-08,-6.96E-08,2.48E-07
2.00E+00,-8.61E-08,1.05E-07,-3.45E-08,-8.89E-08,3.11E-07
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
