Time [ s ],Low [ m s^-1 ],Med[ m s^-1 ],Hi [ m s^-1 ]
1.51E+00,3.32E-01,3.33E-01,3.33E-01
1.52E+00,4.30E-01,4.30E-01,4.30E-01
1.53E+00,5.23E-01,5.24E-01,5.24E-01
1.54E+00,6.11E-01,6.13E-01,6.12E-01
1.55E+00,6.90E-01,6.93E-01,6.91E-01
1.56E+00,7.59E-01,7.62E-01,7.61E-01
1.57E+00,8.17E-01,8.20E-01,8.19E-01
1.58E+00,8.65E-01,8.68E-01,8.67E-01
1.59E+00,9.06E-01,9.07E-01,9.06E-01
1.60E+00,9.41E-01,9.42E-01,9.42E-01
1.61E+00,9.71E-01,9.74E-01,9.72E-01
1.62E+00,9.90E-01,9.95E-01,9.92E-01
1.63E+00,9.93E-01,1.00E+00,9.97E-01
1.64E+00,9.76E-01,9.85E-01,9.80E-01
1.65E+00,9.37E-01,9.47E-01,9.41E-01
1.66E+00,8.80E-01,8.90E-01,8.85E-01
1.67E+00,8.11E-01,8.22E-01,8.17E-01
1.68E+00,7.33E-01,7.45E-01,7.39E-01
1.69E+00,6.47E-01,6.60E-01,6.52E-01
1.70E+00,5.55E-01,5.66E-01,5.59E-01
1.71E+00,4.58E-01,4.68E-01,4.62E-01
1.72E+00,3.91E-01,3.98E-01,3.94E-01
1.73E+00,3.63E-01,3.69E-01,3.66E-01
1.74E+00,3.47E-01,3.55E-01,3.52E-01
1.75E+00,3.35E-01,3.43E-01,3.40E-01
1.76E+00,3.25E-01,3.32E-01,3.28E-01
1.77E+00,3.14E-01,3.21E-01,3.18E-01
1.78E+00,3.02E-01,3.09E-01,3.06E-01
1.79E+00,2.92E-01,2.97E-01,2.95E-01
1.80E+00,2.85E-01,2.88E-01,2.87E-01
1.81E+00,2.81E-01,2.84E-01,2.83E-01
1.82E+00,2.77E-01,2.80E-01,2.79E-01
1.83E+00,2.69E-01,2.74E-01,2.73E-01
1.84E+00,2.60E-01,2.63E-01,2.61E-01
1.85E+00,2.46E-01,2.50E-01,2.49E-01
1.86E+00,2.34E-01,2.37E-01,2.35E-01
1.87E+00,2.26E-01,2.29E-01,2.28E-01
1.88E+00,2.25E-01,2.26E-01,2.25E-01
1.89E+00,2.27E-01,2.27E-01,2.26E-01
1.90E+00,2.29E-01,2.31E-01,2.30E-01
1.91E+00,2.32E-01,2.33E-01,2.33E-01
1.92E+00,2.33E-01,2.35E-01,2.34E-01
1.93E+00,2.35E-01,2.36E-01,2.35E-01
1.94E+00,2.36E-01,2.37E-01,2.36E-01
1.95E+00,2.36E-01,2.37E-01,2.37E-01
1.96E+00,2.37E-01,2.38E-01,2.38E-01
1.97E+00,2.37E-01,2.38E-01,2.38E-01
1.98E+00,2.37E-01,2.38E-01,2.38E-01
1.99E+00,2.37E-01,2.37E-01,2.37E-01
2.00E+00,2.37E-01,2.37E-01,2.37E-01
